"transaction_id","customer_id","age","gender","marital_status","income","store_id","store_name","group_store","type","latitude","longitude","product_id","product_name","price","date","qty","price-2","total_amount"
"TR11369",328,36,0,"Married   ",10.53,12,"Prestasi Utama      ","Prestasi            ","General Trade       ",-2990934.0,104756554,"P3","Crackers            ",7500,"2022-01-01",4,7500,30000
"TR16356",165,44,1,"Married   ",14.58,1,"Prima Tendean       ","Prima               ","Modern Trade        ",-6.2,106816666,"P9","Yoghurt             ",10000,"2022-01-01",7,10000,70000
"TR1984",183,27,1,"Single    ",0.18,4,"Gita Ginara         ","Gita                ","General Trade       ",-6966667.0,110416664,"P1","Choco Bar           ",8800,"2022-01-01",4,8800,35200
"TR35256",160,48,1,"Married   ",12.57,4,"Gita Ginara         ","Gita                ","General Trade       ",-6966667.0,110416664,"P1","Choco Bar           ",8800,"2022-01-01",7,8800,61600
"TR41231",386,33,0,"Married   ",6.95,4,"Gita Ginara         ","Gita                ","General Trade       ",-6966667.0,110416664,"P9","Yoghurt             ",10000,"2022-01-01",1,10000,10000
"TR51675",283,19,1,"Single    ",0,5,"Bonafid             ","Gita                ","General Trade       ",-7250445.0,112768845,"P10","Cheese Stick        ",15000,"2022-01-01",1,15000,15000
"TR54287",51,36,0,"Married   ",7.95,2,"Prima Kelapa Dua    ","Prima               ","Modern Trade        ",-6914864.0,107608238,"P8","Oat                 ",16000,"2022-01-01",2,16000,32000
"TR67455",49,44,1,"Married   ",13.48,13,"Buana               ","Buana               ","General Trade       ",-126916.0,116825264,"P5","Thai Tea            ",4200,"2022-01-01",3,4200,12600
"TR73041",222,45,0,"Married   ",15.03,4,"Gita Ginara         ","Gita                ","General Trade       ",-6966667.0,110416664,"P9","Yoghurt             ",10000,"2022-01-01",6,10000,60000
"TR7596",270,49,1,"Married   ",8.81,14,"Priangan            ","Priangan            ","Modern Trade        ",-5.45,10526667,"P7","Coffee Candy        ",9400,"2022-01-01",2,9400,18800
"TR76340",287,36,0,"Single    ",3.7,12,"Prestasi Utama      ","Prestasi            ","General Trade       ",-2990934.0,104756554,"P4","Potato Chip         ",12000,"2022-01-01",4,12000,48000
"TR97336",233,43,1,"Married   ",5.69,12,"Prestasi Utama      ","Prestasi            ","General Trade       ",-2990934.0,104756554,"P7","Coffee Candy        ",9400,"2022-01-01",2,9400,18800
"TR99839",123,34,0,"Married   ",4.36,1,"Prima Tendean       ","Prima               ","Modern Trade        ",-6.2,106816666,"P2","Ginger Candy        ",3200,"2022-01-01",6,3200,19200
"TR14355",203,53,0,"Married   ",17.2,10,"Harapan Baru        ","Harapan Baru        ","General Trade       ",3597031,98678513,"P3","Crackers            ",7500,"2022-01-02",4,7500,30000
"TR16534",421,35,0,"Married   ",9.01,14,"Priangan            ","Priangan            ","Modern Trade        ",-5.45,10526667,"P3","Crackers            ",7500,"2022-01-02",2,7500,15000
"TR2045",32,34,0,"Married   ",10.96,5,"Bonafid             ","Gita                ","General Trade       ",-7250445.0,112768845,"P7","Coffee Candy        ",9400,"2022-01-02",4,9400,37600
"TR20925",159,53,1,"Married   ",13.65,13,"Buana               ","Buana               ","General Trade       ",-126916.0,116825264,"P10","Cheese Stick        ",15000,"2022-01-02",2,15000,30000
"TR26678",321,45,0,"Married   ",8.03,12,"Prestasi Utama      ","Prestasi            ","General Trade       ",-2990934.0,104756554,"P6","Cashew              ",18000,"2022-01-02",3,18000,54000
"TR29436",335,29,1,"Single    ",4.74,3,"Prima Kota          ","Prima               ","Modern Trade        ",-7797068.0,110370529,"P6","Cashew              ",18000,"2022-01-02",3,18000,54000
"TR30993",14,58,1,"Married   ",10.18,6,"Lingga              ","Lingga              ","Modern Trade        ",-5135399.0,11942379,"P10","Cheese Stick        ",15000,"2022-01-02",2,15000,30000
"TR33449",18,47,0,"Married   ",13.6,9,"Lingga              ","Lingga              ","Modern Trade        ",-3654703.0,128190643,"P6","Cashew              ",18000,"2022-01-02",2,18000,36000
"TR34291",333,47,0,"Married   ",17.99,7,"Buana Indah         ","Buana               ","General Trade       ",3316694,114590111,"P7","Coffee Candy        ",9400,"2022-01-02",2,9400,18800
"TR3533",24,37,0,"Married   ",9.53,10,"Harapan Baru        ","Harapan Baru        ","General Trade       ",3597031,98678513,"P6","Cashew              ",18000,"2022-01-02",3,18000,54000
"TR46701",48,32,0,"Married   ",10.62,9,"Lingga              ","Lingga              ","Modern Trade        ",-3654703.0,128190643,"P2","Ginger Candy        ",3200,"2022-01-02",6,3200,19200
"TR48742",87,44,1,"Married   ",9.57,3,"Prima Kota          ","Prima               ","Modern Trade        ",-7797068.0,110370529,"P5","Thai Tea            ",4200,"2022-01-02",2,4200,8400
"TR63499",118,20,1,"Single    ",3.28,14,"Priangan            ","Priangan            ","Modern Trade        ",-5.45,10526667,"P1","Choco Bar           ",8800,"2022-01-02",7,8800,61600
"TR66576",250,30,1,"Married   ",3.96,5,"Bonafid             ","Gita                ","General Trade       ",-7250445.0,112768845,"P7","Coffee Candy        ",9400,"2022-01-02",5,9400,47000
"TR7826",181,33,1,"Married   ",9.94,12,"Prestasi Utama      ","Prestasi            ","General Trade       ",-2990934.0,104756554,"P1","Choco Bar           ",8800,"2022-01-02",10,8800,88000
"TR93759",34,45,0,"Married   ",6.36,4,"Gita Ginara         ","Gita                ","General Trade       ",-6966667.0,110416664,"P10","Cheese Stick        ",15000,"2022-01-02",2,15000,30000
"TR10346",322,41,0,"Married   ",20.01,4,"Gita Ginara         ","Gita                ","General Trade       ",-6966667.0,110416664,"P3","Crackers            ",7500,"2022-01-03",4,7500,30000
"TR13",285,20,0,"Single    ",0,6,"Lingga              ","Lingga              ","Modern Trade        ",-5135399.0,11942379,"P8","Oat                 ",16000,"2022-01-03",1,16000,16000
"TR15573",91,59,0,"Married   ",9.85,13,"Buana               ","Buana               ","General Trade       ",-126916.0,116825264,"P2","Ginger Candy        ",3200,"2022-01-03",6,3200,19200
"TR21783",78,41,1,"Married   ",10.34,10,"Harapan Baru        ","Harapan Baru        ","General Trade       ",3597031,98678513,"P5","Thai Tea            ",4200,"2022-01-03",5,4200,21000
